#Historical Series#Historical Series
1930#4107#915
1931#3253#948
1932#2197#913
1933#1990#868
1934#2305#904
1935#2344#917
1936#2991#891
1937#3032#885
1938#2626#862
1939#2610#774
1940#2686#780
1941#3220#799
1942#3395#833
1943#2877#849
1944#2738#918
1945#5454#1897
1946#6193#1804
1947#6509#1726
1948#6023#1550
1949#5483#1497
1950#5719#1414
1951#5526#1295
1952#5121#1194
1953#4912#1144
1954#5139#1114
1955#5299#1055
1956#5243#1008
1957#4786#965
1958#4613#936
1959#4568#881
1960#3982#800
1961#3458#732
1962#3346#691
1963#3314#654
1964#3151#601
1965#3155#584
1966#2967#542
1967#2587#502
1968#2424#457
1969#2222#418
1970#2051#389
1971#2032#382
1972#1933#363
1973#1940#347
1974#1926#362
1975#1592#362
1976#1544#359
1977#1571#355
1978#1648#349
1979#1579#342
1980#1346#344
1981#1183#345
1982#1051#346
1983#1143#350
1984#1215#349
1985#1219#347
1986#1214#349
1987#1275#348
1988#1223#339
1989#1135#335
1990#1097#331
1991#975#332
1992#985#341
1993#1050#352
1994#1107#361
1995#1108#367
1996#1094#367
1997#1137#373
1998#1233#398
1999#1268#412
2000#1249#414
2001#1229#427
2002#1202#440
2003#1180#447
2004#1240#450
2005#1255#455
