#Historical Series#Scenario 1#Scenario 2
1930#95.6##
1931#97.1##
1932#97.8##
1933#98.5##
1934#99.5##
1935#100.4##
1936#102.3##
1937#104.5##
1938#106.0##
1939#108.0##
1940#110.1##
1941#112.9##
1942#115.7##
1943#117.3##
1944#118.6##
1945#119.9##
1946#122.1##
1947#123.7##
1948#125.8##
1949#127.6##
1950#130.1##
1951#132.8##
1952#135.6##
1953#138.5##
1954#141.7##
1955#145.6##
1956#149.7##
1957#153.4##
1958#157.3##
1959#161.5##
1960#165.6##
1961#169.1##
1962#173.1##
1963#177.6##
1964#182.5##
1965#188.0##
1966#193.8##
1967#199.3##
1968#205.3##
1969#211.5##
1970#217.2##
1971#222.9##
1972#229.2##
1973#236.3##
1974#243.1##
1975#248.0##
1976#252.8##
1977#257.8##
1978#263.6##
1979#269.1##
1980#272.8##
1981#276.0##
1982#278.5##
1983#281.7##
1984#285.8##
1985#290.0##
1986#294.2##
1987#299.2##
1988#304.1##
1989#308.4##
1990#312.0##
1991#314.0##
1992#315.9##
1993#318.3##
1994#321.5##
1995#324.7##
1996#327.9##
1997#331.4##
1998#335.3##
1999#339.3##
2000#343.6##
2001#347.7##
2002#351.6##
2003#355.3##
2004#359.3##
2005#363.6#363.6#363.6
2006##366.5#367.6
2007##369.1#371.6
2008##371.6#375.4
2009##374.1#379.4
2010##376.6#383.4
2011##379.3#387.6
2012##381.9#391.8
2013##383.6#395.2
2014##385.1#398.5
2015##386.4#401.7
2016##387.6#404.7
2017##388.6#407.8
2018##389.5#410.7
2019##390.2#413.5
2020##390.8#416.3
2021##391.3#419.0
2022##391.7#421.7
2023##391.9#424.3
2024##392.1#426.8
2025##392.1#429.3
2026##392.1#431.8
2027##392.0#434.2
2028##391.7#436.6
2029##391.4#438.9
2030##391.0#441.2
2031##390.6#443.5
2032##390.0#445.7
2033##389.4#447.8
2034##388.7#450.0
2035##387.9#452.0
2036##387.1#454.1
2037##386.1#456.1
2038##385.2#458.0
2039##384.1#459.9
2040##383.0#461.7
2041##381.8#463.5
2042##380.5#465.2
2043##379.2#466.9
2044##377.8#468.5
2045##376.4#470.0
2046##374.9#471.5
2047##373.3#472.9
2048##371.7#474.3
2049##370.0#475.6
2050##368.3#476.8
