#Timber#####Iron#####Other Metals#####Minerals##
#Historical Series#Scenario 1#Scenario 2###Historical Series#Scenario 1#Scenario 2###Historical Series#Scenario 1#Scenario 2###Historical Series#Scenario 1#Scenario 2
1930#1.0#####1.0#####1.0#####1.0##
1931#1.0#####1.0#####1.0#####1.0##
1932#1.0#####1.0#####1.0#####1.1##
1933#1.0#####1.0#####1.0#####1.1##
1934#1.0#####1.0#####1.1#####1.1##
1935#1.0#####1.0#####1.1#####1.2##
1936#1.0#####1.0#####1.1#####1.2##
1937#1.0#####1.1#####1.1#####1.2##
1938#1.0#####1.1#####1.1#####1.3##
1939#1.0#####1.1#####1.2#####1.3##
1940#1.0#####1.1#####1.2#####1.4##
1941#1.0#####1.2#####1.3#####1.5##
1942#1.0#####1.2#####1.3#####1.5##
1943#1.0#####1.2#####1.3#####1.6##
1944#1.0#####1.3#####1.4#####1.7##
1945#1.0#####1.3#####1.4#####1.7##
1946#1.0#####1.3#####1.5#####1.8##
1947#1.0#####1.4#####1.5#####1.9##
1948#1.0#####1.4#####1.5#####1.9##
1949#1.0#####1.4#####1.6#####2.0##
1950#1.1#####1.5#####1.6#####2.1##
1951#1.1#####1.5#####1.7#####2.2##
1952#1.1#####1.6#####1.7#####2.3##
1953#1.1#####1.6#####1.7#####2.5##
1954#1.1#####1.7#####1.8#####2.6##
1955#1.1#####1.7#####1.8#####2.7##
1956#1.1#####1.7#####1.9#####2.9##
1957#1.1#####1.8#####1.9#####3.1##
1958#1.1#####1.8#####2.0#####3.2##
1959#1.1#####1.8#####2.0#####3.4##
1960#1.1#####1.9#####2.0#####3.6##
1961#1.1#####1.9#####2.1#####3.7##
1962#1.1#####1.9#####2.1#####3.9##
1963#1.2#####2.0#####2.2#####4.1##
1964#1.2#####2.0#####2.2#####4.3##
1965#1.2#####2.0#####2.3#####4.5##
1966#1.2#####2.1#####2.4#####4.8##
1967#1.2#####2.1#####2.4#####5.0##
1968#1.2#####2.2#####2.5#####5.2##
1969#1.2#####2.2#####2.5#####5.4##
1970#1.2#####2.3#####2.6#####5.7##
1971#1.2#####2.3#####2.7#####5.9##
1972#1.3#####2.3#####2.8#####6.2##
1973#1.3#####2.4#####2.8#####6.5##
1974#1.3#####2.4#####2.9#####6.8##
1975#1.3#####2.5#####3.0#####7.0##
1976#1.3#####2.5#####3.1#####7.2##
1977#1.3#####2.5#####3.1#####7.5##
1978#1.3#####2.6#####3.2#####7.7##
1979#1.3#####2.6#####3.3#####8.0##
1980#1.4#####2.6#####3.3#####8.2##
1981#1.4#####2.6#####3.4#####8.4##
1982#1.4#####2.6#####3.5#####8.6##
1983#1.4#####2.6#####3.5#####8.8##
1984#1.4#####2.6#####3.6#####9.0##
1985#1.4#####2.6#####3.6#####9.2##
1986#1.4#####2.6#####3.6#####9.5##
1987#1.5#####2.6#####3.7#####9.7##
1988#1.5#####2.6#####3.7#####10.0##
1989#1.5#####2.6#####3.8#####10.3##
1990#1.5#####2.6#####3.9#####10.5##
1991#1.5#####2.6#####3.9#####10.7##
1992#1.6#####2.6#####4.0#####11.0##
1993#1.6#####2.6#####4.0#####11.2##
1994#1.6#####2.6#####4.1#####11.5##
1995#1.6#####2.6#####4.2#####11.7##
1996#1.6#####2.6#####4.3#####12.0##
1997#1.6#####2.6#####4.4#####12.3##
1998#1.7#####2.7#####4.4#####12.6##
1999#1.7#####2.7#####4.5#####12.9##
2000#1.7#####2.7#####4.6#####13.2##
2001#1.7#####2.7#####4.6#####13.5##
2002#1.7#####2.7#####4.6#####13.8##
2003#1.8#####2.7#####4.7#####14.1##
2004#1.8#####2.6#####4.7#####14.4##
2005#1.8#1.8#1.8###2.6#2.6#2.6###4.7#4.7#4.7###14.8#14.8#14.8
2006##1.8#1.8####2.6#2.6####4.7#4.7####15.0#15.1
2007##1.8#1.8####2.6#2.6####4.8#4.7####15.3#15.4
2008##1.9#1.9####2.6#2.6####4.8#4.7####15.6#15.8
2009##1.9#1.9####2.6#2.6####4.9#4.8####15.8#16.1
2010##1.9#1.9####2.6#2.6####4.9#4.8####16.1#16.4
2011##1.9#1.9####2.6#2.6####4.9#4.8####16.3#16.7
2012##1.9#1.9####2.6#2.6####5.0#4.8####16.6#17.0
2013##1.9#2.0####2.6#2.6####5.0#4.8####16.8#17.4
2014##1.9#2.0####2.6#2.5####5.0#4.8####17.0#17.7
2015##2.0#2.0####2.6#2.5####5.1#4.8####17.3#18.0
2016##2.0#2.0####2.6#2.5####5.1#4.8####17.5#18.3
2017##2.0#2.0####2.6#2.5####5.1#4.8####17.7#18.6
2018##2.0#2.1####2.6#2.5####5.2#4.9####17.9#18.9
2019##2.0#2.1####2.6#2.5####5.2#4.9####18.1#19.3
2020##2.0#2.1####2.6#2.5####5.2#4.9####18.3#19.6
2021##2.0#2.1####2.5#2.5####5.2#4.9####18.5#19.9
2022##2.0#2.2####2.5#2.5####5.3#4.9####18.7#20.2
2023##2.0#2.2####2.5#2.5####5.3#4.9####18.9#20.5
2024##2.1#2.2####2.5#2.5####5.3#4.9####19.0#20.8
2025##2.1#2.2####2.5#2.5####5.3#4.9####19.2#21.1
2026##2.1#2.2####2.5#2.5####5.3#4.9####19.4#21.4
2027##2.1#2.3####2.5#2.5####5.4#4.9####19.5#21.7
2028##2.1#2.3####2.5#2.5####5.4#4.9####19.7#22.0
2029##2.1#2.3####2.5#2.5####5.4#4.9####19.8#22.3
2030##2.1#2.3####2.5#2.4####5.4#4.9####20.0#22.6
2031##2.1#2.3####2.5#2.4####5.4#4.9####20.1#22.9
2032##2.1#2.4####2.5#2.4####5.4#5.0####20.2#23.2
2033##2.1#2.4####2.5#2.4####5.4#5.0####20.4#23.6
2034##2.1#2.4####2.5#2.5####5.4#5.0####20.5#23.9
2035##2.1#2.4####2.5#2.5####5.5#5.0####20.6#24.1
2036##2.1#2.4####2.5#2.5####5.5#5.0####20.7#24.4
2037##2.1#2.5####2.5#2.5####5.5#5.0####20.8#24.7
2038##2.1#2.5####2.5#2.5####5.5#5.0####20.9#25.0
2039##2.1#2.5####2.5#2.5####5.5#5.0####21.0#25.3
2040##2.2#2.5####2.5#2.5####5.5#5.0####21.1#25.6
2041##2.2#2.6####2.5#2.5####5.5#5.0####21.2#25.9
2042##2.2#2.6####2.5#2.5####5.5#5.0####21.3#26.2
2043##2.2#2.6####2.5#2.5####5.5#5.0####21.4#26.5
2044##2.2#2.6####2.5#2.5####5.5#5.1####21.5#26.8
2045##2.2#2.6####2.5#2.5####5.5#5.1####21.5#27.1
2046##2.2#2.7####2.5#2.5####5.5#5.1####21.6#27.3
2047##2.2#2.7####2.5#2.5####5.5#5.1####21.7#27.6
2048##2.2#2.7####2.5#2.5####5.5#5.1####21.7#27.9
2049##2.2#2.7####2.5#2.6####5.5#5.1####21.8#28.2
2050##2.2#2.7####2.5#2.6####5.5#5.1####21.8#28.5
