#Timber#####Iron#####Other Metals#####Minerals##
#Historical Series#Scenario 1#Scenario 2###Historical Series#Scenario 1#Scenario 2###Historical Series#Scenario 1#Scenario 2###Historical Series#Scenario 1#Scenario 2
1930#1#####1#####1#####1##
1931#1#####1.1#####1#####1##
1932#1#####1.2#####1.1#####1.1##
1933#1.1#####1.3#####1.1#####1.1##
1934#1.1#####1.4#####1.1#####1.2##
1935#1.1#####1.4#####1.2#####1.3##
1936#1.1#####1.5#####1.2#####1.3##
1937#1.2#####1.5#####1.3#####1.4##
1938#1.2#####1.6#####1.3#####1.5##
1939#1.3#####1.7#####1.4#####1.6##
1940#1.3#####1.8#####1.4#####1.6##
1941#1.4#####1.9#####1.5#####1.7##
1942#1.4#####2#####1.6#####1.8##
1943#1.5#####2.1#####1.6#####1.8##
1944#1.6#####2.2#####1.7#####1.8##
1945#1.6#####2.3#####1.7#####1.8##
1946#1.6#####2.3#####1.7#####1.9##
1947#1.6#####2.3#####1.7#####1.9##
1948#1.7#####2.4#####1.7#####1.9##
1949#1.7#####2.4#####1.7#####1.9##
1950#1.8#####2.6#####1.8#####2##
1951#1.9#####2.7#####1.8#####2.1##
1952#1.9#####3#####1.9#####2.2##
1953#2#####3.2#####1.9#####2.3##
1954#2.1#####3.4#####2#####2.4##
1955#2.2#####3.7#####2#####2.6##
1956#2.3#####4#####2.1#####2.7##
1957#2.4#####4.4#####2.2#####2.9##
1958#2.5#####4.7#####2.3#####3.1##
1959#2.6#####5.2#####2.4#####3.3##
1960#2.7#####5.7#####2.5#####3.7##
1961#2.8#####6.5#####2.7#####4##
1962#3#####7.3#####2.8#####4.4##
1963#3.1#####8.2#####2.9#####4.8##
1964#3.2#####9.2#####3.1#####5.3##
1965#3.4#####10.3#####3.3#####5.8##
1966#3.6#####11.7#####3.4#####6.3##
1967#3.8#####13.5#####3.7#####7##
1968#4#####15.4#####3.9#####7.7##
1969#4.2#####17.6#####4.2#####8.6##
1970#4.4#####20.2#####4.5#####9.5##
1971#4.6#####22.9#####4.9#####10.5##
1972#4.8#####25.6#####5.2#####11.6##
1973#5#####28.8#####5.5#####13##
1974#5.2#####32#####5.8#####14.3##
1975#5.4#####34.9#####6.1#####15.4##
1976#5.6#####37.6#####6.4#####16.5##
1977#5.8#####40.2#####6.7#####17.7##
1978#6#####42.6#####7#####19.1##
1979#6.1#####45.4#####7.3#####20.5##
1980#6.3#####48.3#####7.6#####21.9##
1981#6.4#####50.9#####7.8#####23.3##
1982#6.6#####53.5#####8.1#####24.5##
1983#6.7#####55.7#####8.3#####25.7##
1984#6.8#####58.4#####8.5#####26.8##
1985#6.9#####60.9#####8.8#####28##
1986#7#####63.3#####9#####29.1##
1987#7.1#####65.7#####9.1#####30.3##
1988#7.2#####68.6#####9.3#####31.6##
1989#7.3#####71.7#####9.5#####32.9##
1990#7.4#####74.7#####9.7#####34.3##
1991#7.5#####77.9#####9.9#####35.7##
1992#7.6#####80.4#####10.1#####37.1##
1993#7.6#####82.8#####10.2#####38.5##
1994#7.7#####85.3#####10.3#####39.8##
1995#7.7#####87.9#####10.5#####41.1##
1996#7.7#####90.4#####10.6#####42.4##
1997#7.8#####92.9#####10.8#####43.7##
1998#7.7#####95.1#####10.9#####44.9##
1999#7.7#####97.1#####11#####46.1##
2000#7.7#####99.5#####11.1#####47.3##
2001#7.6#####101.5#####11.2#####48.3##
2002#7.6#####103.4#####11.3#####49.3##
2003#7.5#####105.3#####11.4#####50.1##
2004#7.5#####107.3#####11.5#####50.9##
2005#7.4#7.4#7.4###109.3#109.3#109.3###11.6#11.6#11.6###51.7#51.7#51.7
2006##7.4#7.4####111.1#111.2####11.6#11.6####52.7#52.5
2007##7.3#7.3####112.9#113####11.7#11.7####53.6#53.3
2008##7.3#7.2####114.7#114.8####11.8#11.8####54.5#54
2009##7.2#7.1####116.4#116.5####11.8#11.8####55.3#54.7
2010##7.1#7.1####118#118.1####11.9#11.9####56.2#55.4
2011##7.1#7####119.6#119.7####12#11.9####57#56
2012##7#6.9####121.1#121.2####12#12####57.8#56.7
2013##6.9#6.8####122.6#122.7####12#12####58.5#57.3
2014##6.9#6.7####123.9#124.1####12.1#12####59.2#57.8
2015##6.8#6.6####125.3#125.4####12.1#12.1####59.9#58.4
2016##6.7#6.5####126.5#126.6####12.1#12.1####60.6#58.8
2017##6.6#6.4####127.7#127.8####12.1#12.1####61.2#59.3
2018##6.6#6.4####128.9#128.9####12.2#12.1####61.8#59.7
2019##6.5#6.3####129.9#129.9####12.2#12.1####62.4#60.1
2020##6.4#6.2####130.9#130.8####12.2#12.1####62.9#60.5
2021##6.3#6.1####131.9#131.7####12.2#12.1####63.5#60.8
2022##6.3#6####132.8#132.5####12.2#12.1####63.9#61.1
2023##6.2#5.9####133.6#133.3####12.2#12.1####64.4#61.4
2024##6.1#5.8####134.4#133.9####12.1#12####64.8#61.6
2025##6.1#5.7####135.1#134.5####12.1#12####65.2#61.8
2026##6#5.6####135.7#135####12.1#12####65.6#61.9
2027##5.9#5.5####136.4#135.5####12.1#11.9####66#62.1
2028##5.9#5.5####136.9#135.9####12.1#11.9####66.3#62.2
2029##5.8#5.4####137.4#136.2####12.1#11.8####66.6#62.2
2030##5.8#5.3####137.9#136.5####12#11.8####66.9#62.3
2031##5.7#5.2####138.3#136.7####12#11.8####67.1#62.3
2032##5.7#5.2####138.7#136.8####12#11.7####67.3#62.3
2033##5.6#5.1####139.1#136.9####11.9#11.6####67.6#62.2
2034##5.6#5####139.4#137####11.9#11.6####67.7#62.1
2035##5.5#5####139.6#137####11.9#11.5####67.9#62.1
2036##5.5#4.9####139.9#136.9####11.8#11.5####68.1#61.9
2037##5.4#4.8####140.1#136.8####11.8#11.4####68.2#61.8
2038##5.4#4.8####140.3#136.7####11.8#11.4####68.3#61.6
2039##5.4#4.7####140.5#136.5####11.8#11.3####68.5#61.5
2040##5.4#4.7####140.6#136.2####11.7#11.2####68.6#61.3
2041##5.3#4.6####140.7#135.9####11.7#11.2####68.6#61
2042##5.3#4.6####140.8#135.6####11.7#11.1####68.7#60.8
2043##5.3#4.5####140.9#135.3####11.6#11####68.8#60.6
2044##5.3#4.5####141#134.9####11.6#11####68.8#60.3
2045##5.2#4.4####141.1#134.5####11.6#10.9####68.9#60
2046##5.2#4.4####141.1#134.1####11.6#10.8####68.9#59.7
2047##5.2#4.3####141.1#133.6####11.5#10.8####69#59.4
2048##5.2#4.3####141.2#133.1####11.5#10.7####69#59.1
2049##5.2#4.3####141.2#132.6####11.5#10.6####69#58.8
2050##5.2#4.2####141.2#132####11.5#10.6####69#58.5
